time,method,parameter,x,y,vx,vy,gap,penetration,lambda_n,complementarity_error,ncp_residual,solver_success,residual_norm
0.052000000000000005,penalty,1000.0,0.0,0.9864818200000014,0.0,-0.5101199999999998,0.9864818200000014,0.0,0.0,0.0,0.0,True,0.0
0.053,penalty,1000.0,0.0,0.9859618900000015,0.0,-0.5199299999999998,0.9859618900000015,0.0,0.0,0.0,0.0,True,0.0
0.054,penalty,1000.0,0.0,0.9854321500000015,0.0,-0.5297399999999998,0.9854321500000015,0.0,0.0,0.0,0.0,True,0.0
0.055,penalty,1000.0,0.0,0.9848926000000016,0.0,-0.5395499999999998,0.9848926000000016,0.0,0.0,0.0,0.0,True,0.0
0.056,penalty,1000.0,0.0,0.9843432400000015,0.0,-0.5493599999999997,0.9843432400000015,0.0,0.0,0.0,0.0,True,0.0
0.057,penalty,1000.0,0.0,0.9837840700000015,0.0,-0.5591699999999997,0.9837840700000015,0.0,0.0,0.0,0.0,True,0.0
0.058,penalty,1000.0,0.0,0.9832150900000014,0.0,-0.5689799999999997,0.9832150900000014,0.0,0.0,0.0,0.0,True,0.0
0.059000000000000004,penalty,1000.0,0.0,0.9826363000000014,0.0,-0.5787899999999997,0.9826363000000014,0.0,0.0,0.0,0.0,True,0.0
0.06,penalty,1000.0,0.0,0.9820477000000013,0.0,-0.5885999999999997,0.9820477000000013,0.0,0.0,0.0,0.0,True,0.0
0.061,penalty,1000.0,0.0,0.9814492900000013,0.0,-0.5984099999999997,0.9814492900000013,0.0,0.0,0.0,0.0,True,0.0
0.062,penalty,1000.0,0.0,0.9808410700000012,0.0,-0.6082199999999996,0.9808410700000012,0.0,0.0,0.0,0.0,True,0.0
0.063,penalty,1000.0,0.0,0.9802230400000012,0.0,-0.6180299999999996,0.9802230400000012,0.0,0.0,0.0,0.0,True,0.0
0.064,penalty,1000.0,0.0,0.9795952000000011,0.0,-0.6278399999999996,0.9795952000000011,0.0,0.0,0.0,0.0,True,0.0
0.065,penalty,1000.0,0.0,0.9789575500000011,0.0,-0.6376499999999996,0.9789575500000011,0.0,0.0,0.0,0.0,True,0.0
0.066,penalty,1000.0,0.0,0.978310090000001,0.0,-0.6474599999999996,0.978310090000001,0.0,0.0,0.0,0.0,True,0.0
0.067,penalty,1000.0,0.0,0.977652820000001,0.0,-0.6572699999999996,0.977652820000001,0.0,0.0,0.0,0.0,True,0.0
0.068,penalty,1000.0,0.0,0.9769857400000009,0.0,-0.6670799999999996,0.9769857400000009,0.0,0.0,0.0,0.0,True,0.0
0.069,penalty,1000.0,0.0,0.9763088500000009,0.0,-0.6768899999999995,0.9763088500000009,0.0,0.0,0.0,0.0,True,0.0
0.07,penalty,1000.0,0.0,0.9756221500000009,0.0,-0.6866999999999995,0.9756221500000009,0.0,0.0,0.0,0.0,True,0.0
0.07100000000000001,penalty,1000.0,0.0,0.9749256400000008,0.0,-0.6965099999999995,0.9749256400000008,0.0,0.0,0.0,0.0,True,0.0
0.07200000000000001,penalty,1000.0,0.0,0.9742193200000008,0.0,-0.7063199999999995,0.9742193200000008,0.0,0.0,0.0,0.0,True,0.0
0.073,penalty,1000.0,0.0,0.9735031900000007,0.0,-0.7161299999999995,0.9735031900000007,0.0,0.0,0.0,0.0,True,0.0
0.074,penalty,1000.0,0.0,0.9727772500000007,0.0,-0.7259399999999995,0.9727772500000007,0.0,0.0,0.0,0.0,True,0.0
0.075,penalty,1000.0,0.0,0.9720415000000007,0.0,-0.7357499999999995,0.9720415000000007,0.0,0.0,0.0,0.0,True,0.0
