time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,contact_count,contact_force_x,contact_force_y,contact_force_z,contact_torque_x,contact_torque_y,contact_torque_z
0.43000000,0.00000000,2.09201093,0.00000000,0.00000000,-4.21830000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.44000000,0.00000000,2.04931290,0.00000000,0.00000000,-4.31640000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.45000000,0.00000000,2.00563388,0.00000000,0.00000000,-4.41450000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.46000000,0.00000000,1.96097385,0.00000000,0.00000000,-4.51260000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.47000000,0.00000000,1.91533283,0.00000000,0.00000000,-4.61070000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.48000000,0.00000000,1.86871080,0.00000000,0.00000000,-4.70880000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.49000000,0.00000000,1.82110778,0.00000000,0.00000000,-4.80690000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.50000000,0.00000000,1.77252375,0.00000000,0.00000000,-4.90500000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.51000000,0.00000000,1.72295873,0.00000000,0.00000000,-5.00310000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.52000000,0.00000000,1.67241270,0.00000000,0.00000000,-5.10120000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.53000000,0.00000000,1.62088568,0.00000000,0.00000000,-5.19930000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.54000000,0.00000000,1.56837765,0.00000000,0.00000000,-5.29740000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
